id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.50173E+17,Stunning Guest Suite in Historic 1874 Row House,120815848,Phat,,SECOND WARD,42.6446,-73.75885,Private room,95,1,150,04/01/2025,7.03,1,0,90,
8.50654E+17,"Private queen room near Albany Med, UAlbany",20536619,Emily,,THIRTEENTH WARD,42.67177,-73.79464,Private room,65,3,13,29/10/2024,0.74,5,61,8,
8.57982E+17,Updated Historic Brownstone Apt.,60293220,David,,THIRD WARD,42.65817,-73.74935,Entire home/apt,93,2,19,11/11/2024,0.96,3,314,8,
8.70457E+17,Quiet Room Near Everything,177073982,Cristian,,FOURTEENTH WARD,42.66128,-73.80548,Private room,55,3,4,02/03/2024,0.26,2,188,2,
8.79055E+17,Hot tub + close to everything!,24423279,Leslie,,FOURTEENTH WARD,42.66065,-73.80439,Entire home/apt,169,7,0,,,1,263,0,
8.80291E+17,Spacious 3BR with 2BA & Laundry,49372011,Philip,,ELEVENTH WARD,42.67355,-73.78496,Entire home/apt,155,2,26,02/09/2024,1.29,2,160,8,
8.81232E+17,Exposed Brick with Park Views,37769478,Erion,,SIXTH WARD,42.65379,-73.76901,Entire home/apt,80,1,15,23/11/2024,0.73,11,364,7,
8.8223E+17,Modern / Downtown Albany 1 BR APT,512736975,Miguelino,,TENTH WARD,42.6599733,-73.7747433,Entire home/apt,66,2,58,10/12/2024,2.9,1,63,30,
8.87168E+17,The Comfort II,459472925,Gabriel,,THIRD WARD,42.66246,-73.76576,Private room,40,1,25,11/11/2024,1.29,2,338,12,
8.87179E+17,The Comfort,459472925,Gabriel,,THIRD WARD,42.6628771,-73.7653403,Private room,40,1,29,15/11/2024,1.45,2,341,18,
8.88859E+17,Walk to Downtown Albany: Ten Broeck Triangle Apt!,121680792,Evolve,,THIRD WARD,42.65822,-73.75132,Entire home/apt,106,2,13,03/11/2024,0.65,6,347,10,
8.98744E+17,"Airy 5Br-2Ba,Kids Rm, 6TVs,Pvt Fence-yard&Parking!",516414095,Rashawn,,TENTH WARD,42.66087,-73.78655,Entire home/apt,199,2,48,28/12/2024,2.54,1,85,20,
9.02166E+17,2 bdrm Modern & Hip Apt w/ Patio,47625981,Linda,,SEVENTH WARD,42.64787,-73.76707,Entire home/apt,155,1,47,10/11/2024,2.49,18,363,26,
9.02327E+17,"""The LEO Home"" Private Bedroom 4",349460842,Scott,,TENTH WARD,42.66174,-73.78325,Private room,63,30,0,,,17,277,0,
9.04393E+17,/Luxury Modern Western Hideout\,4259750,Peter,,THIRTEENTH WARD,42.6652959,-73.7868778,Entire home/apt,153,1,18,08/12/2024,0.94,8,116,11,
9.05007E+17,*The Red House* 4 BedroomsÉ?ΩBeautifully Renovated,349460842,Scott,,TENTH WARD,42.66217,-73.78299,Entire home/apt,232,1,57,28/12/2024,3.15,17,279,39,
9.10156E+17,Exclusive | Suite ~ Extended Stay,6203319,Melissa,,TENTH WARD,42.66292,-73.7909,Private room,,1,1,26/07/2023,0.06,3,0,0,
9.17511E+17,"R&R | Hospitals, Colleges + Politics",6203319,Melissa,,TENTH WARD,42.66261,-73.79158,Private room,,1,10,29/09/2024,0.55,3,0,3,
9.1764E+17,Everything you need! Modern Gem on New Scotland,471810429,Maria,,SEVENTH WARD,42.65194,-73.78593,Entire home/apt,,2,121,17/12/2024,6.45,2,351,51,
